courseid,date,course,institution1,institution2,grade,Comment,URL_course,my_course_URL,Result
100,2017,Introduction to Enumerative Combinatorics,National Research University Higher School of Economics,Coursera,Grade Achieved: 81.6%,,,,
101,2017,Introduction to Complex Analysis,Wesleyan University,Coursera,Grade Achieved: 94.1%,,,,
102,2017,Single Page Web Applications with AngularJS,Johns Hopkins University,Coursera,Grade Achieved: 100.0%,,,,
103,2017,Introduction to Mathematical Thinking,Stanford University,Coursera,Grade Achieved: 99.6%,,,,
104,2017,Understanding Einstein: The Special Theory of Relativity,Stanford University,Coursera,Grade Achieved: 100.0%,,,,
105,2017,Bayesian Statistics: From Concept to Data Analysis,University of California - Santa Cruz,Coursera,Grade Achieved: 100.0% with Honors,,,,
106,2017,Probabilistic Graphical Models 1: Representation,Stanford University,Coursera,Grade Achieved: 96.3%,,,,
107,2016,Fundamentals of Digital Image and Video Processing,Northwestern University,Coursera,Grade Achieved: 100.0%,,,,
108,2016,Character Design for Video Games,California Institute of the Arts,Coursera,Grade Achieved: 87.5%,,,,
109,2016,Text Retrieval and Search Engines,University of Illinois at Urbana-Champaign,Coursera,Grade Achieved: 99.5%,,,,
110,2016,Parallel programming,École Polytechnique Fédérale de Lausanne,Coursera,Grade Achieved: 97.5%,,,,
111,2016,HTML&CSS  and Javascript for Web Developers,Johns Hopkins University,Coursera,Grade Achieved: 99.0%,,,,
112,2016,Ruby on Rails Web Services and Integration with MongoDB,Johns Hopkins University,Coursera,Grade Achieved: 100.0%,,,,
113,2016,Advanced Data Structures in Java,University of California San Diego,Coursera,Grade Achieved: 99.9%,,,,
114,2016,The Raspberry Pi Platform and Python Programming for the Raspberry Pi,University of California - Irvine,Coursera,Grade Achieved: 100.0%,,,,
115,2016,Rails with Active Record and Action Pack,Johns Hopkins University,Coursera,Grade Achieved: 100.0%,,,,
116,2016,Ruby on Rails: An Introduction,Johns Hopkins University,Coursera,Grade Achieved: 100.0%,,,,
117,2015,Internet of Things & Augmented Reality Emerging Technologies,Yonsei University,Coursera,Grade Achieved: 100.0%,,,,
118,2015,Cloud Networking,University of Illinois at Urbana-Champaign,Coursera,Grade Achieved: 69.7%,,,,
119,2015,Social and Economic Networks: Models and Analysis,Stanford University,Coursera,Grade Achieved: 81.0%,,,,
120,2015,Cloud Computing Applications,University of Illinois at Urbana-Champaign,Coursera,Grade Achieved: 100.0%,,,,
121,2015,Data Visualization,University of Illinois at Urbana-Champaign,Coursera,Grade Achieved: 83.8%,,,,
122,2015,New Venture Finance: Startup Funding for Entrepreneurs,University of Maryland - College Park,Coursera,Grade Achieved: 99.0% with Distinction,,,,
123,2015,Statistical Inference,Johns Hopkins University,Coursera,Grade Achieved: 100.0% with Distinction,,,,
124,2015,Regression Models,Johns Hopkins University,Coursera,Grade Achieved: 100.0% with Distinction,,,,
125,2015,Exploratory Data Analysis,Johns Hopkins University,Coursera,Grade Achieved: 75.0%,,,,
126,2015,Reproducible Research,Johns Hopkins University,Coursera,Grade Achieved: 91.2% with Distinction,,,,
127,2015,Developing Data Products,Johns Hopkins University,Coursera,Grade Achieved: 70.8%,,,,
128,2015,Introduction to Computational Finance and Financial Econometrics,University of Washington,Coursera,Grade Achieved: 100.0%,,,,
129,2015,Getting and Cleaning Data,Johns Hopkins University,Coursera,Grade Achieved: 100.0% with Distinction,,,,
130,2015,The Data Scientists Toolbox,Johns Hopkins University,Coursera,Grade Achieved: 100.0% with Distinction,,,,
131,2015,Practical Machine Learning,Johns Hopkins University,Coursera,Grade Achieved: 93.0% with Distinction,,,,
132,2015,General Game Playing,Stanford University,Coursera,Grade Achieved: 100.0%,,,,
133,2015,Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,Coursera,Grade Achieved: 96.6%,,,,
134,2015,Artificial Intelligence Planning,The University of Edinburgh,Coursera,Grade Achieved: 67.0%,,,,
135,2015,Process Mining: Data science in Action,Eindhoven University of Technology,Coursera,Grade Achieved: 96.6% with Distinction,,,,
136,2015,Mining Massive Datasets,Stanford University,Coursera,Grade Achieved: 70.8%,,,,
137,2015,Computational Investing-Part 1,Georgia Institute of Technology,Coursera,Grade Achieved: 100.0% with Distinction,,,,
138,2015,R Programming,Johns Hopkins University,Coursera,Grade Achieved: 100.0% with Distinction,,,,
139,2015,Game Theory,Stanford University & The University of British Columbia,Coursera,Grade Achieved: 92.9% with Distinction,,,,
140,2015,Machine Learning,Stanford University,Coursera,Grade Achieved: 100.0%,,,,
141,2015,Programming Cloud Services for Android Handheld Systems,Vanderbilt University,Coursera,Grade Achieved: 100.0% with Distinction,,,,
142,2014,Pattern-Oriented Software Architectures: Programming Mobile Services for Android Handheld Systems,Vanderbilt University,Coursera,Grade Achieved: 100.0% with Distinction,,,,
143,2014,Cryptography I,Stanford University,Coursera,Grade Achieved: 100.0% with Distinction,,,,
144,2014,Programming Mobile Applications for Android Handheld Systems,University of Maryland - College Park,Coursera,Grade Achieved: 100.0% with Distinction,,,,
145,2014,Principles of Reactive Programming,École Polytechnique Fédérale de Lausanne,Coursera,Grade Achieved: 99.5% with Distinction,,,,
146,2014,Web Intelligence and Big Data,Indian Institute of Technology Delhi,Coursera,Grade Achieved: 74.1%,,,,
147,2014,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,Coursera,Grade Achieved: 89.9% with Distinction,,,,
